,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
0,Toy Story,862,373554033,30000000,7.7,5415.0,8.0,"['Animation', 'Comedy', 'Family']","['Tom Hanks', 'Tim Allen', 'Don Rickles']","[2, 2, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 2]","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']",1995-10-30,9,3,1,13
1,Jumanji,8844,262797249,65000000,6.9,2413.0,7.0,"['Adventure', 'Fantasy', 'Family']","['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']","[2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 2, 0, 0, 0, 2, 2, 0, 2, 0]","['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']",1995-12-15,8,6,7,21
2,Waiting to Exhale,31357,81452156,16000000,6.1,34.0,6.0,"['Comedy', 'Drama', 'Romance']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine']","[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']",1995-12-22,6,4,0,10
3,Heat,949,187436818,60000000,7.7,1886.0,8.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Al Pacino', 'Robert De Niro', 'Val Kilmer']","[2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']",1995-12-15,16,5,0,21
4,Sudden Death,9091,64350171,35000000,5.5,174.0,5.0,"['Action', 'Adventure', 'Thriller']","['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']","[2, 2, 2, 2, 2, 1]","['terrorist', 'hostage', 'explosive', 'vice president']",1995-12-22,5,1,0,6
5,GoldenEye,710,352194034,58000000,6.6,1194.0,7.0,"['Adventure', 'Action', 'Thriller']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']","[2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 0, 2, 1, 1, 2]","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']",1995-11-16,12,7,1,20
6,The American President,9087,107879496,62000000,6.5,199.0,6.0,"['Comedy', 'Drama', 'Romance']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox']","[2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 0]","['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']",1995-11-17,10,7,1,18
7,Nixon,10858,13681765,44000000,7.1,72.0,7.0,"['History', 'Drama']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","[2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 1, 2, 1, 2, 0, 2]","['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']",1995-12-22,15,4,2,21
8,Cutthroat Island,1408,10017322,98000000,5.7,137.0,6.0,"['Action', 'Adventure']","['Geena Davis', 'Matthew Modine', 'Frank Langella']","[1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 1, 2, 0, 2, 0, 2]","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']",1995-12-22,14,2,5,21
9,Casino,524,116112375,52000000,7.8,1343.0,8.0,"['Drama', 'Crime']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']","[2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 0, 1, 0, 0, 2, 2]","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']",1995-11-22,14,3,4,21
